SMILES,QMOF
[O-]C(=O)c1cc2c3c(c1)c(N(=O)=O)c(c1c3c(c(c2N(=O)=O)N(=O)=O)cc(c1)C(=O)[O-])N(=O)=O.[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.201034
Cl[Cd].O=C1[N]NC(=O)c2c1nccc2&&fes.cat0,2.0555
[Zn].c1ccc2c(c1)N=C[N]2&&sod.cat0,3.677709
[Cu].[O-]C(=O)CCc1cccnc1&&sql.cat0,0.959976
Fc1cncc(c1C#Cc1c(F)cncc1F)F.[O-]C(=O)c1c(Cl)c(Cl)c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1cc(F)c(c(c1)F)C#Cc1c(F)cc(cc1F)C(=O)[O-].[Zn][Zn]&&pcu.cat0,1.098963
[Ag].[CH]1C=CC2=NN=NC2=C1.c1ccc2c(c1)N=N[N]2&&fes.cat0,2.77796
Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1cccnc1)NCCCCCCNC(=O)c1cccnc1.[Cd]&&sql.cat0,2.432054
[Cd].[O-]C(=O)c1ccc(cc1)CN1[N]C=N[CH]1&&rtl.cat0,3.402861
[C]#N.[Fe].[Pd]&&sql.cat1,1.413432
Cl[Cd]Cl.c1ncn(c1)Cc1cc(Cn2cncc2)c(cc1Cn1cncc1)Cn1cncc1&&cds.cat0,3.401493
[Cd].[O-]C(=O)c1cccc(c1)C(=O)[O-].c1ncn(c1)Cn1cncc1&&sql.cat3,3.421683
NCCNCCCN.[Cd].[S]C#N&&dia.cat0,4.218483
[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O].[V]&&rna.cat0,1.015868
[Cd].[O-]C(=O)c1cc2N=C[N]c2cc1C(=O)[O-].[OH2][Cd][OH2]&&ant.cat0,3.314558
C1SCCS1.I[Cu][Cu]I&&sql.cat0,2.642908
[Cu][Cu].[O-]C(=O)CCC(C(=O)[O-])C.n1ccc(cc1)c1ccncc1&&rob.cat0,0.589855
O=N(=O)C1=NN=C[N]1.[Cu]&&srs.cat0,0.907318
