,REACT_SMILES,rxn_nrj
0,[H]C([H])([H])C([H])([H])F.H>>[H]C([H])([H])C([H])([H])[H].F,-26.70580627585204
1,[H]C([H])([H])C([H])([H])F.Cl>>[H]C([H])([H])C([H])([H])Cl.F,43.83827621622572
2,[H]C([H])([H])C([H])([H])Cl.H>>[H]C([H])([H])C([H])([H])[H].Cl,-70.5440923764715
3,[H]C([H])([H])C([H])([H])Cl.F>>[H]C([H])([H])C([H])([H])F.Cl,-43.83819273245511
4,[H]C([H])(F)C([H])([H])[N+](=O)[O-].H>>[H]C([H])([H])C([H])([H])[N+](=O)[O-].F,-29.54507734395648
5,[H]C([H])(F)C([H])([H])[N+](=O)[O-].Cl>>[H]C([H])(Cl)C([H])([H])[N+](=O)[O-].F,43.7719105173322
6,[H]C([H])(Cl)C([H])([H])[N+](=O)[O-].H>>[H]C([H])([H])C([H])([H])[N+](=O)[O-].Cl,-73.317076568419
7,[H]C([H])(Cl)C([H])([H])[N+](=O)[O-].F>>[H]C([H])(F)C([H])([H])[N+](=O)[O-].Cl,-43.77231484633913
8,[H]C([H])(F)C([H])([H])C#N.H>>[H]C([H])([H])C([H])([H])C#N.F,-28.81447979615957
9,[H]C([H])(F)C([H])([H])C#N.Cl>>[H]C([H])(Cl)C([H])([H])C#N.F,43.89553469765573
10,[H]C([H])(Cl)C([H])([H])C#N.H>>[H]C([H])([H])C([H])([H])C#N.Cl,-72.70997917002661
11,[H]C([H])(Cl)C([H])([H])C#N.F>>[H]C([H])(F)C([H])([H])C#N.Cl,-43.895482093143166
12,[H]C([H])([H])C([H])([H])C([H])([H])F.H>>[H]C([H])([H])C([H])([H])C([H])([H])[H].F,-26.408328651622963
13,[H]C([H])([H])C([H])([H])C([H])([H])F.Cl>>[H]C([H])([H])C([H])([H])C([H])([H])Cl.F,43.77554194702071
14,[H]C([H])([H])C([H])([H])C([H])([H])Cl.H>>[H]C([H])([H])C([H])([H])C([H])([H])[H].Cl,-70.18387441072292
15,[H]C([H])([H])C([H])([H])C([H])([H])Cl.F>>[H]C([H])([H])C([H])([H])C([H])([H])F.Cl,-43.77544755844841
16,[H]N([H])C([H])([H])C([H])([H])F.H>>[H]N([H])C([H])([H])C([H])([H])[H].F,-26.105593326663904
17,[H]N([H])C([H])([H])C([H])([H])F.Cl>>[H]N([H])C([H])([H])C([H])([H])Cl.F,43.57831102648362
18,[H]N([H])C([H])([H])C([H])([H])Cl.H>>[H]N([H])C([H])([H])C([H])([H])[H].Cl,-69.68386581090499
19,[H]N([H])C([H])([H])C([H])([H])Cl.F>>[H]N([H])C([H])([H])C([H])([H])F.Cl,-43.57827260024639
20,[H]C([H])(F)C([H])([H])[N+](=O)[O-].H>>[H]C([H])([H])C([H])([H])[N+](=O)[O-].F,-29.545077345240568
21,[H]C([H])(F)C([H])([H])[N+](=O)[O-].Cl>>[H]C([H])(Cl)C([H])([H])[N+](=O)[O-].F,43.77191051783157
22,[H]C([H])(Cl)C([H])([H])[N+](=O)[O-].H>>[H]C([H])([H])C([H])([H])[N+](=O)[O-].Cl,-73.31707656913241
