,substanceid,molecularweight,inchi,pa
25256,37400562,61.0605,"InChI=1S/C2H5O2/c1-2-4-3/h2-3H,1H3",3
20811690,37756469,63.0788,"InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2",3
22092063,39041956,74.1154,InChI=1S/CH3NOSi/c3-1-2-4/h4H3/i1+1,3
20971154,37915921,64.0526,"InChI=1S/C2H6O2/c1-2(3)4/h2-4H,1H3/i3D,4D",3
20971103,37915867,64.0868,InChI=1S/C5H4/c1-3-5-4-2/h1-2H2,3
25118,37400386,61.0605,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",3
25236,37400542,61.088,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3/i1D",3
21255564,38202198,66.1026,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3/b5-4+",4
15526,39041946,74.1545,InChI=1S/C2H6OSi/c1-4(2)3/h1-2H3,3
22006115,38955479,73.0715,"InChI=1S/C3H5O2/c1-2-5-3-4-1/h1H,2-3H2/q+1",4
20043482,36986119,59.0727,"InChI=1S/C3H5F/c1-2-3-4/h2-3H,1H3/b3-2-/i4-1",3
22091790,39041533,74.091,"InChI=1S/C4H8O/c1-4(2)3-5/h5H,1,3H2,2H3/i1D,5D/b4-1-",4
21916303,38865155,72.0897,InChI=1S/C2H6N3/c1-3-5-4-2/h1-2H3,4
21117765,38063154,65.0426,"InChI=1S/C2H3F2/c3-1-2-4/h1H,2H2/q+1",3
16643442,33582639,50.0409,InChI=1S/C4H/c1-3-4-2/h1H/i4+1,3
20808682,37756378,63.0764,"InChI=1S/CH4O.CH3O/c2*1-2/h2H,1H3;1H3/q;-1",2
20259585,37202672,60.171,"InChI=1S/C2H8Si/c1-2-3/h2H2,1,3H3",2
21916209,38865058,72.0867,InChI=1S/C3H6NO/c1-3(5)4-2/h1-2H3,4
22005983,38955273,73.0513,"InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)",4
21721641,38669354,70.091,"InChI=1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2/t4-/m0/s1",4
21383785,38330650,67.4909,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3/i1D,2D2",2
27567,38063426,65.0788,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3/i1D",3
22092016,39041760,74.0794,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",4
21211,36228224,56.1032,InChI=1S/CHNSi/c1-2-3/h3H/i3D,2
15279,38956586,73.9578,"InChI=1S/C4H8.2Li/c1-3-4-2;;/h1-4H2;;/i1D2,2D2;;",4
21255568,38202202,66.1093,InChI=1S/CN.K/c1-2;/q-1;+1/i2+1;,1
25048,37400338,61.0605,"InChI=1S/C2H5O2/c3-1-2-4/h1,3-4H,2H2",3
21584323,38563130,69.0727,"InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H/i1+1,5+1",4
21117869,38063482,65.0543,InChI=1S/C3HN2/c4-2-1-3-5/h1H,3
22091547,39041056,74.0629,InChI=1S/C6H/c1-3-5-6-4-2/h1H/i2+1,4
21916776,38865656,72.1387,InChI=1S/C2H4OSi/c1-2-3-4/h1-2H2,3
20456180,37400299,61.0996,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3/i1D3",3
22005932,38955050,73.0947,"InChI=1S/C3H7NO/c1-2-3-5-4/h2H,1,3-4H2",4
21616558,38563604,69.1075,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2/i3+1",4
21916279,38865131,72.086,InChI=1S/3CH3.Al/h3*1H3;,3
22092148,39042062,74.1069,"InChI=1S/C4H9O/c1-2-3-4-5/h4-5H,2-3H2,1H3/i5D",4
21383766,38330609,67.4909,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3/i1D3",2
21616436,38563404,69.0393,InChI=1S/C4HF/c1-2-3-4-5/h1H/i3+1,4
19556602,36500146,57.0721,"InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3",3
17570170,34509458,51.0287,InChI=1S/C3N/c1-2-3-4/i2+1,3
21719388,38669208,70.0709,"InChI=1S/C3H4NO/c1-3(5)2-4/h3,5H,1H2",4
16632013,33582653,50.0214,"InChI=1S/C2H4O/c1-2-3/h2H,1H3/p+1/i1D3,2D/hD",2
19805779,36751498,58.0532,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2/i1+2",3
19286822,36228011,56.0672,"InChI=1S/C2H4N2/c1-4-2-3/h4H,1H3",3
17964895,34904139,52.044,"InChI=1S/C4H2/c1-3-4-2/h1-2H/i1D,2D",3
22091681,39041425,74.0434,"InChI=1S/C2H3NO2/c1-2-3(4)5/h2H,1H2/i2D",4
21383606,38330233,67.0904,"InChI=1S/C4H5N/c1-4(2)3-5/h1H2,2H3",4
21916323,38865174,72.055,"InChI=1S/C5H6/c1-4-2-5(1,4)3-4/h1-3H2/t4-,5+/i1D2,2D2,3D2",5
16643039,33582556,50.0348,InChI=1S/CH3Cl/c1-2/h1H3/i2+0,1
19809985,36751804,58.0629,InChI=1S/CH4N3/c2-1(3)4/h2-3H2,3
21813184,38769189,71.1265,"InChI=1S/C5H10/c1-4-3-5(4)2/h4-5H,3H2,1-2H3/t4-,5-/m1/s1/i4D",4
21486800,38450939,68.0782,"InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)",5
18677651,35617382,54.0916,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",3
