dataset,task,splitter,valid_auroc,valid_f1,valid_r,test_auroc,test_f1,test_r,augment_n
bace_classification,classification,scaffold,0.656,0.662,0.0,0.668,0.664,0.0,0
bace_classification,classification_vec,scaffold,0.663,0.675,0.0,0.669,0.645,0.0,0
bbbp,classification,scaffold,0.933,0.936,0.0,0.665,0.657,0.0,0
bbbp,classification_vec,scaffold,0.898,0.897,0.0,0.692,0.686,0.0,0
delaney,regression,scaffold,1.382,1.095,0.723,1.518,1.182,0.7,0
delaney,regression_vec,scaffold,1.279,1.017,0.79,1.308,0.973,0.834,0
bace_regression,regression,scaffold,0.735,0.58,0.382,1.174,0.939,0.739,0
bace_regression,regression_vec,scaffold,0.779,0.621,0.335,1.133,0.892,0.763,0
bace_classification,classification,scaffold,0.606,0.616,0.0,0.723,0.711,0.0,1
bace_classification,classification_vec,scaffold,0.639,0.656,0.0,0.726,0.704,0.0,1
bbbp,classification,scaffold,0.944,0.941,0.0,0.676,0.667,0.0,1
bbbp,classification_vec,scaffold,0.878,0.877,0.0,0.674,0.672,0.0,1
delaney,regression,scaffold,1.281,0.993,0.77,1.283,0.984,0.799,1
delaney,regression_vec,scaffold,1.273,1.022,0.794,1.286,0.963,0.839,1
bace_regression,regression,scaffold,0.717,0.571,0.348,1.214,0.928,0.755,1
bace_regression,regression_vec,scaffold,0.777,0.622,0.358,1.117,0.86,0.782,1
bace_classification,classification,scaffold,0.627,0.636,0.0,0.707,0.697,0.0,2
bace_classification,classification_vec,scaffold,0.639,0.649,0.0,0.713,0.691,0.0,2
bbbp,classification,scaffold,0.928,0.926,0.0,0.637,0.627,0.0,2
bbbp,classification_vec,scaffold,0.884,0.882,0.0,0.703,0.701,0.0,2
delaney,regression,scaffold,1.301,1.035,0.787,1.141,0.853,0.86,2
delaney,regression_vec,scaffold,1.199,0.953,0.82,1.236,0.895,0.845,2
bace_regression,regression,scaffold,0.726,0.578,0.369,1.154,0.893,0.786,2
bace_regression,regression_vec,scaffold,0.734,0.578,0.381,1.098,0.878,0.796,2
bace_classification,classification,scaffold,0.665,0.675,0.0,0.701,0.684,0.0,3
bace_classification,classification_vec,scaffold,0.635,0.649,0.0,0.713,0.684,0.0,3
bbbp,classification,scaffold,0.935,0.931,0.0,0.657,0.647,0.0,3
bbbp,classification_vec,scaffold,0.892,0.892,0.0,0.678,0.676,0.0,3
delaney,regression,scaffold,1.259,1.013,0.803,1.368,0.949,0.773,3
delaney,regression_vec,scaffold,1.139,0.914,0.834,1.184,0.883,0.855,3
bace_regression,regression,scaffold,0.76,0.594,0.338,1.153,0.888,0.784,3
bace_regression,regression_vec,scaffold,0.722,0.576,0.389,1.136,0.874,0.78,3
bace_classification,classification,scaffold,0.638,0.649,0.0,0.734,0.717,0.0,4
bace_classification,classification_vec,scaffold,0.633,0.642,0.0,0.713,0.684,0.0,4
