dataset,task,splitter,valid_auroc,valid_f1,valid_r,test_auroc,test_f1,test_r,compressor,transform
bbbp,classification,scaffold,0.0,0.0,0.0,0.648,0.639,0.0,Gzip,None
tox21,classification,scaffold,0.0,0.0,0.0,0.594,0.17,0.0,Gzip,None
sider,classification,scaffold,0.0,0.0,0.0,0.579,0.66,0.0,Gzip,None
clintox,classification,scaffold,0.0,0.0,0.0,0.914,0.932,0.0,Gzip,None
lipo,regression,scaffold,0.0,0.0,0.0,1.035,0.829,0.422,Gzip,None
esol,regression,scaffold,0.0,0.0,0.0,1.325,1.006,0.722,Gzip,None
freesolv,regression,scaffold,0.0,0.0,0.0,3.754,2.864,0.442,Gzip,None
hiv,classification,scaffold,0.0,0.0,0.0,0.688,0.886,0.0,Gzip,None
qm8,regression,scaffold,0.0,0.0,0.0,0.045,0.028,0.904,Gzip,None
bbbp,classification,scaffold,0.0,0.0,0.0,0.691,0.68,0.0,LZ4,None
tox21,classification,scaffold,0.0,0.0,0.0,0.587,0.179,0.0,LZ4,None
sider,classification,scaffold,0.0,0.0,0.0,0.584,0.651,0.0,LZ4,None
clintox,classification,scaffold,0.0,0.0,0.0,0.87,0.942,0.0,LZ4,None
lipo,regression,scaffold,0.0,0.0,0.0,0.979,0.788,0.491,LZ4,None
esol,regression,scaffold,0.0,0.0,0.0,1.46,1.016,0.654,LZ4,None
freesolv,regression,scaffold,0.0,0.0,0.0,5.586,4.634,0.188,LZ4,None
hiv,classification,scaffold,0.0,0.0,0.0,0.687,0.856,0.0,LZ4,None
qm8,regression,scaffold,0.0,0.0,0.0,0.047,0.03,0.898,LZ4,None
bbbp,classification,scaffold,0.0,0.0,0.0,0.641,0.629,0.0,Snappy,None
tox21,classification,scaffold,0.0,0.0,0.0,0.575,0.164,0.0,Snappy,None
sider,classification,scaffold,0.0,0.0,0.0,0.594,0.649,0.0,Snappy,None
clintox,classification,scaffold,0.0,0.0,0.0,0.882,0.963,0.0,Snappy,None
lipo,regression,scaffold,0.0,0.0,0.0,1.072,0.855,0.381,Snappy,None
